country,y,val_district_ann_agg,k_growth_coef,k_growth_coef_pct,index,users,new_users,sessions,bounce_rate,page_session,avg_session_dur,users_visitors_ratio
Ireland,2018,31,1.347826087,34.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ireland,2019,74,2.387096774,138.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ireland,2020,11,0.148648649,-85.14,78,14,14,23,0.826086957,1.347826087,27.04347826,1
Ireland,2021,10,0.909090909,-9.09,51,30,30,30,0.9,1.466666667,25.23333333,0
Israel,2017,1048,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Israel,2018,397,0.378816794,-62.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Israel,2019,195,0.491183879,-50.88,40,42,40,59,0.576271186,3.474576271,260.5762712,5
Israel,2020,32,0.164102564,-83.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Israel,2021,61,1.90625,90.63,86,11,10,14,0.428571429,2,247.0714286,6
Italy,2017,450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Italy,2018,572,1.271111111,27.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Italy,2019,456,0.797202797,-20.28,52,29,29,34,0.735294118,2.029411765,89.76470588,16
Italy,2020,161,0.353070175,-64.69,36,51,50,65,0.8,1.630769231,34.2,3
Italy,2021,113,0.701863354,-29.81,53,29,29,38,0.631578947,1.526315789,36.71052632,4
Japan,2017,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Japan,2018,25,1.923076923,92.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Japan,2019,23,0.92,-8,48,32,32,32,1,1,0,1
Japan,2020,1,0.043478261,-95.65,68,19,19,19,1,1,0,0
Japan,2021,2,2,100,65,21,21,22,0.136363636,1.863636364,7.318181818,0
Kazakhstan,2019,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kazakhstan,2021,4,2,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kenya,2018,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Latvia,2017,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Latvia,2018,25,0.520833333,-47.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Latvia,2019,225,9,800,71,18,18,23,0.565217391,2.652173913,114.8695652,13
Latvia,2020,42,0.186666667,-81.33,74,16,16,21,0.523809524,2.428571429,127.8095238,3
