cat,dd,val_districts_country,k_growth_coef,k_growth_coef_pct
Austria (Prenocovania),20170601,366,1.702325581,70.23
Austria (Prenocovania),20170701,248,0.677595628,-32.24
Austria (Prenocovania),20170801,171,0.689516129,-31.05
Austria (Prenocovania),20170901,186,1.087719298,8.77
Austria (Prenocovania),20171001,71,0.38172043,-61.83
Austria (Prenocovania),20171101,75,1.056338028,5.63
Austria (Prenocovania),20171201,71,0.946666667,-5.33
Austria (Prenocovania),20180101,69,0.971830986,-2.82
Austria (Prenocovania),20180201,39,0.565217391,-43.48
Austria (Prenocovania),20180301,59,1.512820513,51.28
Austria (Prenocovania),20180401,31,0.525423729,-47.46
Austria (Prenocovania),20180501,73,2.35483871,135.48
Austria (Prenocovania),20180601,86,1.178082192,17.81
Austria (Prenocovania),20180701,164,1.906976744,90.7
Austria (Prenocovania),20180801,326,1.987804878,98.78
Austria (Prenocovania),20180901,553,1.696319018,69.63
Austria (Prenocovania),20181001,72,0.130198915,-86.98
Austria (Prenocovania),20181101,48,0.666666667,-33.33
Austria (Prenocovania),20181201,89,1.854166667,85.42
Austria (Prenocovania),20190101,49,0.550561798,-44.94
Austria (Prenocovania),20190201,28,0.571428571,-42.86
Austria (Prenocovania),20190301,32,1.142857143,14.29
Austria (Prenocovania),20190401,70,2.1875,118.75
Austria (Prenocovania),20190501,45,0.642857143,-35.71
Austria (Prenocovania),20190601,230,5.111111111,411.11
Austria (Prenocovania),20190701,236,1.026086957,2.61
Austria (Prenocovania),20190801,411,1.741525424,74.15
Austria (Prenocovania),20190901,235,0.571776156,-42.82
Austria (Prenocovania),20191001,136,0.578723404,-42.13
Austria (Prenocovania),20191101,55,0.404411765,-59.56
Austria (Prenocovania),20191201,150,2.727272727,172.73
Austria (Prenocovania),20200101,63,0.42,-58
Austria (Prenocovania),20200201,32,0.507936508,-49.21
Austria (Prenocovania),20200301,20,0.625,-37.5
Austria (Prenocovania),20200401,,,
Austria (Prenocovania),20200501,,,
Austria (Prenocovania),20200601,12,,
Austria (Prenocovania),20200701,175,14.58333333,1358.33
Austria (Prenocovania),20200801,94,0.537142857,-46.29
Austria (Prenocovania),20200901,99,1.053191489,5.32
Austria (Prenocovania),20201001,55,0.555555556,-44.44
Austria (Prenocovania),20201101,56,1.018181818,1.82
Austria (Prenocovania),20201201,47,0.839285714,-16.07
Austria (Prenocovania),20210101,59,1.255319149,25.53
Austria (Prenocovania),20210201,35,0.593220339,-40.68
Austria (Prenocovania),20210301,,,
Austria (Prenocovania),20210401,40,,
Austria (Prenocovania),20210501,5,0.125,-87.5
Austria (Prenocovania),20210601,9,1.8,80
Austria (Prenocovania),20210701,31,3.444444444,244.44
Austria (Prenocovania),20210801,9,0.290322581,-70.97
Austria (Prenocovania),20210901,84,9.333333333,833.33
Austria (Prenocovania),20211001,28,0.333333333,-66.67
Austria (Prenocovania),20211101,,,
Austria (Prenocovania),20211201,7,,
Belarus (Počet),20170101,17,,
Belarus (Počet),20170201,,,
Belarus (Počet),20170301,,,
Belarus (Počet),20170401,12,,
Belarus (Počet),20170501,,,
Belarus (Počet),20170601,,,
Belarus (Počet),20170701,5,,
Belarus (Počet),20170801,11,2.2,120
Belarus (Počet),20170901,4,0.363636364,-63.64
Belarus (Počet),20171001,,,
Belarus (Počet),20171101,1,,
Belarus (Počet),20171201,13,13,1200
Belarus (Počet),20180101,7,0.538461538,-46.15
Belarus (Počet),20180201,1,0.142857143,-85.71
Belarus (Počet),20180301,,,
Belarus (Počet),20180401,4,,
Belarus (Počet),20180501,1,0.25,-75
Belarus (Počet),20180601,4,4,300
Belarus (Počet),20180701,4,1,0
Belarus (Počet),20180801,7,1.75,75
Belarus (Počet),20180901,23,3.285714286,228.57
Belarus (Počet),20181001,,,
Belarus (Počet),20181101,,,
Belarus (Počet),20181201,2,,
Belarus (Počet),20190101,,,
Belarus (Počet),20190201,1,,
Belarus (Počet),20190301,,,
